Site,Age,d13C,Material
1262,66.447827,3.15,bulk carbonate
1262,66.449449,3.07,bulk carbonate
1262,66.452694,2.98,bulk carbonate
1262,66.454316,3.02,bulk carbonate
1262,66.455939,3.15,bulk carbonate
1262,66.457561,3.28,bulk carbonate
1262,66.459184,3.08,bulk carbonate
1262,66.460806,3.05,bulk carbonate
1262,66.462429,3.08,bulk carbonate
1262,66.464051,3.16,bulk carbonate
1262,66.465673,3.12,bulk carbonate
1262,66.467296,3.09,bulk carbonate
1262,66.468918,3.09,bulk carbonate
1262,66.470541,3.10,bulk carbonate
1262,66.472163,3.11,bulk carbonate
1262,66.473786,3.01,bulk carbonate
1262,66.475408,3.07,bulk carbonate
1262,66.477031,2.97,bulk carbonate
1262,66.478653,3.08,bulk carbonate
1262,66.480276,2.96,bulk carbonate
1262,66.481898,3.10,bulk carbonate
1262,66.48352,2.92,bulk carbonate
1262,66.484602,3.08,bulk carbonate
1262,66.486765,3.11,bulk carbonate
1262,66.488388,2.95,bulk carbonate
1262,66.49001,2.91,bulk carbonate
1262,66.491633,2.82,bulk carbonate
1262,66.493255,2.82,bulk carbonate
1262,66.494878,2.77,bulk carbonate
1262,66.4965,2.87,bulk carbonate
1262,66.498122,2.79,bulk carbonate
1262,66.499745,2.88,bulk carbonate
1262,66.501367,2.88,bulk carbonate
1262,66.50299,2.99,bulk carbonate
1262,66.504612,3.02,bulk carbonate
1262,66.506235,2.91,bulk carbonate
1262,66.507857,2.89,bulk carbonate
1262,66.50948,2.90,bulk carbonate
1262,66.511102,2.84,bulk carbonate
1262,66.512724,2.87,bulk carbonate
1262,66.514347,2.92,bulk carbonate
1262,66.515969,2.85,bulk carbonate
1262,66.517592,2.73,bulk carbonate
1262,66.519214,2.83,bulk carbonate
1262,66.520837,2.87,bulk carbonate
1262,66.522459,2.88,bulk carbonate
1262,66.524014,3.06,bulk carbonate
1262,66.525536,3.06,bulk carbonate
1262,66.527057,2.82,bulk carbonate
1262,66.5301,3.05,bulk carbonate
1262,66.531621,2.99,bulk carbonate
1262,66.533142,2.91,bulk carbonate
1262,66.534664,2.84,bulk carbonate
1262,66.536185,2.80,bulk carbonate
1262,66.537706,2.72,bulk carbonate
1262,66.539227,2.83,bulk carbonate
1262,66.540749,2.83,bulk carbonate
1262,66.54227,2.85,bulk carbonate
1262,66.543791,2.96,bulk carbonate
1262,66.545313,3.01,bulk carbonate
1262,66.546834,3.05,bulk carbonate
1262,66.548355,3.07,bulk carbonate
1262,66.549877,2.97,bulk carbonate
1262,66.551398,3.09,bulk carbonate
1262,66.552919,2.98,bulk carbonate
1262,66.553934,3.00,bulk carbonate
1262,66.555455,2.98,bulk carbonate
1262,66.556976,2.98,bulk carbonate
1262,66.558498,2.96,bulk carbonate
1262,66.560019,2.91,bulk carbonate
1262,66.56154,2.85,bulk carbonate
1262,66.563062,2.93,bulk carbonate
1262,66.564583,2.89,bulk carbonate
1262,66.566104,2.86,bulk carbonate
1262,66.567626,2.94,bulk carbonate
1262,66.569147,2.83,bulk carbonate
1262,66.57219,2.91,bulk carbonate
1262,66.573711,2.95,bulk carbonate
1262,66.575232,2.83,bulk carbonate
1262,66.576754,2.92,bulk carbonate
1262,66.578275,2.95,bulk carbonate
1262,66.579796,2.94,bulk carbonate
1262,66.581318,3.17,bulk carbonate
1262,66.582839,3.22,bulk carbonate
1262,66.58436,3.19,bulk carbonate
1262,66.585882,3.12,bulk carbonate
1262,66.587403,3.13,bulk carbonate
1262,66.588924,2.97,bulk carbonate
1262,66.590445,2.91,bulk carbonate
1262,66.591967,2.94,bulk carbonate
1262,66.593488,2.92,bulk carbonate
1262,66.595009,2.98,bulk carbonate
1262,66.596531,3.00,bulk carbonate
1262,66.598052,3.03,bulk carbonate
1262,66.599573,2.91,bulk carbonate
1262,66.601095,2.84,bulk carbonate
1262,66.602616,2.94,bulk carbonate
1262,66.604137,3.03,bulk carbonate
1262,66.605659,3.07,bulk carbonate
1262,66.60718,3.04,bulk carbonate
1262,66.608701,3.02,bulk carbonate
1262,66.610223,3.03,bulk carbonate
1262,66.611744,3.23,bulk carbonate
1262,66.613773,2.93,bulk carbonate
1262,66.615294,2.94,bulk carbonate
1262,66.616815,2.84,bulk carbonate
1262,66.618336,2.91,bulk carbonate
1262,66.619858,2.79,bulk carbonate
1262,66.621379,2.68,bulk carbonate
1262,66.6229,2.85,bulk carbonate
1262,66.624422,2.77,bulk carbonate
1262,66.625943,2.85,bulk carbonate
1262,66.627464,2.91,bulk carbonate
1262,66.628986,3.11,bulk carbonate
1262,66.630533,3.16,bulk carbonate
1262,66.632132,2.96,bulk carbonate
1262,66.633731,2.93,bulk carbonate
1262,66.63533,2.92,bulk carbonate
1262,66.636929,2.75,bulk carbonate
1262,66.638528,2.84,bulk carbonate
1262,66.640127,2.85,bulk carbonate
1262,66.641726,3.00,bulk carbonate
1262,66.643325,2.86,bulk carbonate
1262,66.644924,2.87,bulk carbonate
1262,66.646523,2.96,bulk carbonate
1262,66.648122,3.12,bulk carbonate
1262,66.649721,2.96,bulk carbonate
1262,66.65132,3.05,bulk carbonate
1262,66.652919,3.01,bulk carbonate
1262,66.653985,3.09,bulk carbonate
1262,66.655584,3.08,bulk carbonate
1262,66.65665,2.92,bulk carbonate
1262,66.658249,2.84,bulk carbonate
1262,66.659848,2.73,bulk carbonate
1262,66.661447,2.88,bulk carbonate
1262,66.663046,2.82,bulk carbonate
1262,66.664645,2.89,bulk carbonate
1262,66.666244,2.95,bulk carbonate
1262,66.667843,3.05,bulk carbonate
