model,time,zooplankton biomass (Pg C),phytoplankton biomass (Pg C),mixoplankton biomass (Pg C),size mean (μm),exp
4,125.5,0.12381892,0.10312083,0.36931127,41.36882,solar effect
4,126.5,0.122624815,0.1021698,0.36647037,41.10787,solar effect
4,127.5,0.121494606,0.10132787,0.36387527,40.893642,solar effect
4,128.5,0.12031713,0.10045344,0.36105436,40.624672,solar effect
4,129.5,0.11924674,0.099679664,0.3586402,40.4081,solar effect
4,130.5,0.11824033,0.098956615,0.35637993,40.19561,solar effect
4,131.5,0.11732304,0.098282985,0.35431474,40.009357,solar effect
4,132.5,0.11646339,0.09768072,0.35248563,39.85375,solar effect
4,133.5,0.115695864,0.09714965,0.3509003,39.733204,solar effect
4,134.5,0.11500308,0.09666617,0.34941489,39.614204,solar effect
4,135.5,0.114356324,0.09620766,0.3480273,39.49698,solar effect
4,136.5,0.11370644,0.095760636,0.3466953,39.373302,solar effect
4,137.5,0.11309887,0.09536616,0.34550354,39.260242,solar effect
4,138.5,0.11252526,0.09502379,0.34446132,39.168106,solar effect
4,139.5,0.11195359,0.09468353,0.34346324,39.084057,solar effect
4,140.5,0.11137442,0.09434834,0.3424906,39.00538,solar effect
4,141.5,0.11080298,0.09401296,0.341517,38.920815,solar effect
4,142.5,0.11021383,0.09365915,0.3404937,38.82711,solar effect
4,143.5,0.10963179,0.09332078,0.33952034,38.742863,solar effect
4,144.5,0.109078616,0.092982896,0.33851773,38.647987,solar effect
4,145.5,0.10853934,0.09266301,0.33753002,38.550446,solar effect
4,146.5,0.108011186,0.092339635,0.33654088,38.452065,solar effect
4,147.5,0.10751678,0.09203546,0.3356375,38.361675,solar effect
4,148.5,0.10704159,0.09174234,0.33478817,38.283424,solar effect
4,149.5,0.106590174,0.091461025,0.33397865,38.212097,solar effect
4,199.5,0.09963238,0.086499885,0.31845397,36.97116,solar effect
5,0.5,0.10015385,0.08929633,0.30355453,38.682323,solar effect
5,99.5,0.09210588,0.08051182,0.2978494,33.870495,solar effect
5,100.5,0.050284352,0.041637197,0.15593949,33.54111,solar effect
5,101.5,4.176913e-07,1.5599807e-07,9.4739636e-07,84.91765,solar effect
5,102.5,2.5744665e-05,0.0019275174,0.005205813,10.673537,solar effect
